year,region,country,modularity,in-conductance,out-conductance
2009,America,RoW America,0.03142657050994245,0.523888485864241,0.3626512802765331
2009,Europe,RoW Europe,0.010627926995273804,0.4599751939031436,0.33493846545318345
2009,Africa,RoW Africa,0.02002303671493419,0.6174639257964462,0.4383048237264806
2009,Middle East,RoW Middle East,0.02839819955980546,0.7998265901660264,0.6288541987133666
2010,Europe,Austria,0.008789202018301542,0.5384509248150179,0.36986882713551755
2010,Europe,Belgium,0.012864717428879796,0.7016779370803752,0.5659901588038275
2010,Europe,Bulgaria,0.0016744696148542808,0.5114662094215202,0.3537862150024774
2010,Middle East,Cyprus,0.0006111075831868081,0.5408369569659909,0.385249041368297
2010,Europe,Czech Republic,0.007705606374693592,0.5111766017190891,0.37357281058669345
2010,Europe,Germany,0.07725423748081461,0.4160892049861371,0.2596501462947301
2010,Europe,Denmark,0.0066852024989757265,0.5719422534263939,0.398300548641806
2010,Europe,Estonia,0.0005441252901165436,0.6913664855471856,0.5401137296296283
2010,Europe,Spain,0.03140953250811772,0.3685948566661279,0.2463489378144864
2010,Europe,Finland,0.006614765958769347,0.47257865273464494,0.32118811720217993
2010,Europe,France,0.05578412837130181,0.3585903015524035,0.22986342455009423
2010,Europe,Greece,0.005765285133565744,0.4198691766160991,0.29078459648599825
2010,Europe,Croatia,0.0015432048359100591,0.45203011345057875,0.3068336378876794
2010,Europe,Hungary,0.0030323691023334777,0.8369786177698482,0.7404718851441354
2010,Europe,Ireland,0.0036154412670073473,1.0667774981011493,1.15096729065064
2010,Europe,Italy,0.05632312894810793,0.32236350209043035,0.21915888011183465
2010,Europe,Lithuania,0.0009355310033962235,0.6503462334197874,0.48672708302509965
2010,Europe,Luxembourg,0.0020928706092445243,0.737622107108567,0.5538018417422198
2010,Europe,Latvia,0.0008629403749208837,0.4661045545162931,0.31729279735431937
2010,Europe,Malta,0.0002815203910722399,0.9151891026021716,0.8435778776434643
2010,Europe,Netherlands,0.018091444425212863,0.6147244791099586,0.44197815456702316
2010,Europe,Poland,0.013146826596630051,0.4420748789875509,0.3088199482974944
2010,Europe,Portugal,0.006326427274096586,0.4031111412540865,0.2878672800209613
2010,Europe,Romania,0.0046387057374785105,0.39770573029694317,0.27628220044163115
2010,Europe,Sweden,0.011677689202230994,0.5164704876354991,0.3358979040709796
2010,Europe,Slovenia,0.001441230563390117,0.5625049142061549,0.4078521850792504
2010,Europe,Slovakia,0.002437466175893993,0.7114261721683289,0.5841186142262391
