,year,country,sector,coal,length_ratio,length
37,2006,Russia,Aluminium prod.,7.560719546573957,0.06643364783931437,0.10500999370241607
38,2006,Russia,Other sectors,61.98647085899829,0.5446554855634909,0.8609232063749763
39,2006,Czechia,Iron,58.89079770869581,0.23313600822537048,0.8179277459541084
40,2006,Czechia,Nickel,56.01518141529304,0.22175206149827828,0.7779886307679589
41,2006,Czechia,Aluminium,54.58723007101998,0.2160991090966042,0.7581559732086108
42,2006,Czechia,Non-ferrous metals,35.16366439640053,0.13920538812370165,0.48838422772778506
43,2006,Czechia,"Lead, zinc and tin",32.98802440658501,0.13059249710683946,0.458167005647014
44,2006,Czechia,Other sectors,14.957855892200968,0.05921493594920602,0.20774799850279121
0,2007,Romania,Coke oven products,-72.99045454142868,0.4204329497638562,-1.0137563130753982
1,2007,Romania,Precious metals prod.,-23.571104748289653,0.13577212473572686,-0.3273764548373562
2,2007,Romania,Coal elec. prod.,-14.475198935138039,0.08337871883322012,-0.201044429654695
3,2007,Romania,Wind elec. prod.,-13.589804895735622,0.07827875295373639,-0.18874729021855027
4,2007,Romania,Iron,-13.503832632615408,0.07778354337587318,-0.18755323100854734
5,2007,Romania,Other sectors,-35.47744012746057,0.20435391033758715,-0.4927422239925079
6,2007,Estonia,Non-ferrous metals,-45.87635919479474,0.3626323416599481,-0.6371716554832603
7,2007,Estonia,Coal elec. prod.,-23.304473416443397,0.1842115615642784,-0.32367324189504715
8,2007,Estonia,Aluminium,-15.325589645463335,0.12114201209507487,-0.21285541174254632
9,2007,Estonia,Iron,-14.98621326685676,0.11845939182968687,-0.2081418509285661
10,2007,Estonia,Nickel,-13.374530958083763,0.10571975555731729,-0.18575737441783005
11,2007,Estonia,Other sectors,-13.642121092642967,0.10783493729369437,-0.18947390406448567
12,2007,Bulgaria,Coke oven products,-52.86980410753476,0.40185103608005435,-0.5181948211510248
13,2007,Bulgaria,Other non-metallic products,-38.89888134920683,0.29566131436273146,-0.3812610847342719
14,2007,Bulgaria,Precious metals prod.,-20.44815202709931,0.15542162897556977,-0.20041924991815097
15,2007,Bulgaria,Construction products,-19.348840741764953,0.14706602058164436,-0.18964452842051716
16,2007,Bulgaria,Other sectors,38.72026096148039,-0.22738378251500857,0.29321586342640454
17,2007,Spain,Coal elec. prod.,-40.26248157565426,0.45291844499238376,-0.559201132995198
18,2007,Spain,Copper prod.,-9.490668715918172,0.10676189714423165,-0.13181484327664128
19,2007,Spain,Coke oven products,-6.9041843958699936,0.07766616309137184,-0.09589144994263879
20,2007,Spain,Other sectors,-32.2383197527986,0.36265349477201275,-0.4477544410110917
21,2007,Japan,Coal elec. prod.,-44.578078263656494,0.5254994011117196,-0.6191399758841181
22,2007,Japan,Construction products,-29.47676283570364,0.3474806860282068,-0.4093994838292172
23,2007,Japan,Other sectors,-10.775090522539728,0.12701991286007366,-0.149654035035274
24,2007,Ireland,Precious metals prod.,-43.6062847576014,0.6003413302625589,-0.6056428438555751
25,2007,Ireland,Other sectors,-29.029535165924813,0.3996586697374412,-0.4031879884156224
